,metric,context,cluster,first,second,metric value
402,top 64 5mer overlap,Swapped RBNS,1,LM D[PPP1R10],KHDRBS1,0.4375
403,top 64 5mer overlap,Swapped RBNS,1,LM D[PUF60],Pcbp2_dr,0.25
404,top 64 5mer overlap,Swapped RBNS,1,LM D[PUM1],ESRP1,0.5625
405,top 64 5mer overlap,Swapped RBNS,1,LM D[Pcbp2_dr],IGF2BP3,0.0625
406,top 64 5mer overlap,Swapped RBNS,1,LM D[RBM25],RBM25,0.484375
407,top 64 5mer overlap,Swapped RBNS,1,LM D[RBM28],UNK,0.53125
408,top 64 5mer overlap,Swapped RBNS,1,LM D[RBMS1],PUF60,0.296875
409,top 64 5mer overlap,Swapped RBNS,1,LM D[RBMS2],HNRNPA2B1,0.171875
410,top 64 5mer overlap,Swapped RBNS,1,LM D[RBMS3],NSUN2,0.359375
411,top 64 5mer overlap,Swapped RBNS,1,LM D[SAFB2],SNRPA,0.09375
412,top 64 5mer overlap,Swapped RBNS,1,LM D[SNRPA],HNRNPL,0.375
413,top 64 5mer overlap,Swapped RBNS,1,LM D[UNK],MSI1,0.40625
414,top 64 5mer overlap,Swapped RBNS,1,LM D[ZC3H18],KHDRBS2,0.453125
415,top 64 5mer overlap,Swapped RBNS,2,LM D[PABPN1],ZC3H10,0.078125
416,top 64 5mer overlap,Swapped RBNS,2,LM D[RBM22],RBM22,0.046875
417,top 64 5mer overlap,Swapped RBNS,2,LM D[Rbm4.3_dr],Rbm4.3_dr,0.484375
418,top 64 5mer overlap,Swapped RBNS,2,LM D[ZC3H10],PABPN1,0.03125
419,top 64 5mer overlap,Swapped RBNS,6,LM D[EIF4G2],FXR2,0.421875
420,top 64 5mer overlap,Swapped RBNS,6,LM D[FMR1],RBM4B,0.328125
421,top 64 5mer overlap,Swapped RBNS,6,LM D[FXR1],RBM45,0.234375
422,top 64 5mer overlap,Swapped RBNS,6,LM D[FXR2],RBM23,0.0625
423,top 64 5mer overlap,Swapped RBNS,6,LM D[G3BP2],PABPC3,0.1875
424,top 64 5mer overlap,Swapped RBNS,6,LM D[HNRNPK],ZNF326,0.265625
425,top 64 5mer overlap,Swapped RBNS,6,LM D[PABPC3],RBM47_gg,0.359375
426,top 64 5mer overlap,Swapped RBNS,6,LM D[PABPC5],FMR1,0.34375
427,top 64 5mer overlap,Swapped RBNS,6,LM D[RBFOX3],EIF4G2,0.140625
428,top 64 5mer overlap,Swapped RBNS,6,LM D[RBM23],HNRNPK,0.234375
429,top 64 5mer overlap,Swapped RBNS,6,LM D[RBM45],FXR1,0.40625
430,top 64 5mer overlap,Swapped RBNS,6,LM D[RBM47_gg],RBFOX3,0.203125
431,top 64 5mer overlap,Swapped RBNS,6,LM D[RBM4B],SUCLG1,0.15625
432,top 64 5mer overlap,Swapped RBNS,6,LM D[RBM5],G3BP2,0.265625
433,top 64 5mer overlap,Swapped RBNS,6,LM D[SNRNP70],YBX1,0.40625
434,top 64 5mer overlap,Swapped RBNS,6,LM D[SRSF1],RBM5,0.453125
435,top 64 5mer overlap,Swapped RBNS,6,LM D[SRSF2],SNRNP70,0.140625
436,top 64 5mer overlap,Swapped RBNS,6,LM D[SRSF9],SRSF1,0.375
437,top 64 5mer overlap,Swapped RBNS,6,LM D[SUCLG1],PABPC5,0.234375
438,top 64 5mer overlap,Swapped RBNS,6,LM D[YBX1],SRSF2,0.25
439,top 64 5mer overlap,Swapped RBNS,6,LM D[ZNF326],SRSF9,0.28125
440,top 64 5mer overlap,Swapped RBNS,8,LM D[AKAP8L],APOBEC3C,0.234375
441,top 64 5mer overlap,Swapped RBNS,8,LM D[APOBEC3C],AKAP8L,0.640625
